ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
1655,kaurna,1251,,m u n t o,,,
1660,kukatja,1251,,m u n d a,,,
1661,kukuyalanji,1251,,w a ɹ a l,,,
1667,gurdjar,1251,,w oː ɹ ɣ,,,
1668,gurdjar,1251,,n oː k i r,,,
1669,kuukuyau,1251,,k a p a n t a,,,
1671,kalalagawya,1251,,i e ɹ a,,,
1677,margany,1251,,b a ʈ i,,,
1678,martuwangka,1251,,w i ɭ a,,,
33048,dhalandji,1223,,p u ɹ uː l a,,,
1695,mudburra,1251,,m a c u l a,,,
1697,muruwari,1251,,d u g u,,,
1700,ngaanyatjarra,1251,,t c u n i,,,
1703,lowerriverland,1251,,m ə o u n k o,,,
1704,ngamini,1251,,t u n ɹ u,,,
33052,wagaya,1223,,k u ʈ u ɭ u,,,
1707,ngarinman,1251,,l u g u,,,
1709,ngarluma,1251,,p u ŋ a,,,
1710,narrinyeri,1251,,m a ŋ k e ɹ i,,,
1716,northerncoastalnyangumarta,1251,,ŋ u n t a p i n i,,,
1717,nyamal,1251,,ŋ a ɭ o,,,
1718,nyangumarta,1251,,ŋ a ɭ u,,,
1719,nyunga,1251,,c o ɹ p u l,,,
1720,paakantyi,1251,,g u n d u,,,
1724,panytyima,1251,,ŋ a ɭ u,,,
1725,banggarla,1251,,w u r n a,,,
1726,bayungu,1251,,p a ɭ u ɲ u,,,
1734,pitjantjatjara,1251,,c u n i,,,
1735,pitjantjatjara,1251,,m u k a l a,,,
1736,pittapitta,1251,,c u ɳ ʈ u,,,
1738,ritarungo,1251,,g u l u n,,,
1740,dhalandji,1251,,p a ɭ u ɲ u,,,
1741,dhargari,1251,,ŋ a ɭ u,,,
1744,wagaya,1251,,u t a l,,,
1751,ngura,1251,,ŋ a j i m a l a,,,
1757,warlpiri,1251,,m i j a l u,,,
1759,wanman,1251,,ɲ u ɹ u,,,
1760,wariyangga,1251,,p u c u,,,
1761,warumungu,1251,,m u n kː u,,,
1763,wathawurrung,1251,,d u ŋ,,,
1767,wikmungkan,1251,,t̪ i p,,,
1768,wiradhuri,1251,,b i n c i,,,
1769,wirangunauo,1251,,w a ɳ a,,,
33063,wanman,1223,,k u ʈ u ʈ u,,,
1775,yannhangu,1251,,ŋ a ɹ u,,,
1776,yandruwandha,1251,,t u n d ɹ u,,,
33064,wariyangga,1223,,p u ɖ a r,,,
1778,yawarawarga,1251,,b i lː i k u d n a,,,
1780,yindjibarndi,1251,,ŋ a ɭ u,,,
33065,warumungu,1223,,m a ɳ t u ɭ k a,,,
1784,yortayorta,1251,,b u l i,,,
1786,yulparitja,1251,,c u n i,,,
1787,yuwaalaraay,1251,,m u b a l,,,
33068,wathawurrung,1223,,d̪ u r u ŋ,,,
33071,wikmungkan,1223,,ŋ a ŋ k,,,
